,petid,magnitude,score
73,eddac3328,1.5,0.3
74,ba3ee71f8,4.0,0.6
75,4e774a9c7,3.9,0.4
76,1f33216f7,1.1,-0.3
77,36edc334e,2.7,0.4
78,a58d8080b,3.6,0.5
79,b0278d962,0.9,0.3
80,69f4a00df,0.4,0
81,01e78230b,0.4,0
82,828f48390,2.2,0.1
83,603dbe569,3.2,0
84,a05674125,0.0,0
85,6bacb98ab,0.7,0.3
86,aa0901313,0.0,0
87,062e2772c,3.1,0.2
88,bb48e2353,1.8,0.9
89,3d9ee26e3,0.3,0
90,b1ae07ad5,1.9,0.3
91,0be7a4adf,1.0,0.1
92,46d88ca3e,2.7,0.3
93,897fde926,3.7,0.2
94,7a12a494f,1.2,0.2
95,c38afccab,0.9,0.9
96,3be835fa8,2.2,0.2
97,3a6197f6d,5.2,0.3
98,d4aa3713a,0.6,0.3
99,6471c7195,2.2,0.1
100,6607c6e22,1.9,0.9
101,30eb1004f,6.4,0.2
102,200a0df49,0.1,0.1
103,fe2209833,0.3,0
104,c09a67b3a,1.1,0.3
105,21b5e3d22,3.0,0.1
106,a76937df3,2.8,0.2
107,0bcae32b7,0.5,-0.5
108,056bb97e4,3.6,0.1
109,99f5b19b5,11.2,0
110,7d4f585b5,2.0,-0.1
111,9a0db11a9,1.0,0
112,d71310023,0.0,0
113,6668704bf,0.8,0.3
114,de1f49c9d,2.5,0.8
115,cc8bf5e79,0.7,0.3
116,76042f693,2.8,0.2
117,27ef6e605,0.2,-0.2
118,2d19917cb,3.7,0.4
119,7b9cd9253,0.9,0.2
120,6e3aad5f3,1.1,0.2
121,2ea365a6f,0.3,0.3
122,e7ab271b1,5.5,0.1
123,69ba8d92e,0.9,0.4
124,d8697f0fd,1.2,0.3
125,1991b0817,2.3,0
126,04bad9310,5.7,0.2
127,a59aa3f80,3.3,0.1
128,463be5788,6.7,0.3
129,28dfa1c39,0.3,0.3
130,e7f5a8bd0,0.2,-0.2
131,029b05087,2.7,0.1
132,ee370b5cf,6.2,0.3
133,c9206bc13,2.8,0.3
134,61ba636f0,0.4,0.4
135,51e25fe8b,1.6,0
136,c863daf49,3.7,0.3
137,948a1a82c,2.9,0.7
138,6c909e8d0,2.4,0.3
139,d41773368,1.4,0.4
140,c969e8b17,2.9,0.1
141,e276a9ad1,1.2,0.1
142,f54941314,0.3,0.3
143,7843a9dca,0.6,0.3
144,b271a8246,1.3,0.4
145,1e6c42df6,4.8,0
146,fee500b95,1.4,0.1
147,49ad94a6a,2.5,0.5
148,56b63bfb3,1.4,0.7
149,332ae5ab2,2.6,-0.1
150,97d823486,1.7,0.3
151,8abb96298,0.9,0.9
152,4bb96a979,2.8,0.4
153,6d994c50c,0.6,-0.6
154,5e17c1fde,2.9,0.7
155,c6c1048af,3.4,0.8
156,8d39ce00b,2.5,0.4
157,9ba05432d,0.6,0.6
158,5649192e9,1.9,0.6
159,da5ae6aa9,1.7,0.3
160,96b39751e,0.6,-0.1
161,37c989ac5,0.8,0.8
162,6c4af5f08,2.6,0.2
163,53964c5d0,3.6,0.5
164,2cf4d18e3,1.8,0.3
165,355756bdc,2.6,0.6
166,dc99804de,1.6,0.5
167,edc5c168a,1.9,0.4
168,ee57c8d53,2.2,0.3
169,2f50d46b2,0.8,0.2
170,adc51c1a7,0.8,0.8
171,574b9ab4f,5.6,0.5
172,b1988cdd5,2.4,0.3
173,be38039cc,3.2,0.8
174,e50d881a7,1.8,0.4
175,1efbef49e,2.8,0
176,d3486b178,0.7,0.7
177,2416a2da1,0.3,0.3
178,7bebfc2a8,1.4,0.3
179,8ce0f64b4,2.3,0.2
180,1bd13d3e5,1.2,0.2
181,5d8c4f66b,0.2,0
182,6dcce539c,3.5,0.2
183,456c7a365,0.8,0.4
184,310c3f884,0.9,0.3
185,2bdf3471b,5.1,0
186,db0a53c3a,3.7,0.6
187,54224dada,2.1,-0.3
188,219444cb8,0.0,0
189,45f8df95e,2.4,0.2
190,8e3fba2c2,0.9,0.9
191,fa73b1181,1.8,0
192,43ddb2eb4,3.4,0.4
193,3ded98af9,3.8,0
194,fd8f64c6d,4.3,0.2
195,1b71de34e,4.7,0.4
196,04b5f77c0,0.2,-0.2
197,93e058345,0.3,0.1
198,607744326,1.0,0.2
199,cbc7dc778,1.1,0.2
200,2ca3bc8f5,7.8,0.1
201,e97e1afc1,0.5,0.5
202,05aaee8ce,2.0,0.3
203,36f1c9d61,0.0,0
204,015fdb354,0.0,0
205,b69d479cf,2.1,0.3
206,5780fe74a,1.1,0.1
207,1da3eb996,1.0,0.5
208,a44b2389a,0.7,0.7
209,4d40cfa55,1.4,0.2
210,38e3b6744,0.7,0.2
211,9d66ac1e7,4.1,0.4
212,ecb6979fa,0.6,0.2
213,baf543aa6,0.4,0.4
214,97dd55a08,0.3,-0.1
215,ef086278a,2.7,0.3
216,33826a08a,0.0,0
217,84057a73d,0.7,0.1
218,12c65f314,2.4,0.3
219,6dac572be,0.4,-0.2
220,155d18f5f,1.6,0.1
221,7f74af51f,2.9,0.5
222,71cc0a02e,0.9,0
223,e96d122ed,0.8,0.8
224,4dc36183c,8.5,0.2
225,88fa13291,0.2,0
226,c82e4964c,0.9,0.9
227,30506e8c1,2.9,0.4
228,a4ba78b62,2.5,0.3
229,3085ca2c6,0.8,0.4
230,42d565331,3.3,0.2
231,4f402845d,2.0,0.5
232,dce7af31c,3.7,0.3
233,f3f8bb113,0.7,0.3
234,7a496733d,6.5,0.1
235,7362590d5,1.9,0.3
236,b0d4b988a,6.4,0.1
237,6326e5387,6.8,0.5
238,0327b8e94,0.3,0.1
239,33a373ca9,2.0,0.4
240,a90a72141,0.2,0.2
241,4ce620a7a,2.2,0.1
242,b80074591,0.9,0.9
243,3acfe9fcd,0.9,0.9
244,eb3d2466f,0.3,-0.3
245,c63dc4adb,2.4,0.2
246,03ae93b48,0.3,0.3
247,c8be6ec3c,2.3,0
248,6c196faec,4.0,0.1
249,ba6ea2d18,1.6,0.4
250,fc02869d9,0.7,0.1
251,cdf5760e8,0.2,-0.1
252,08048fee2,3.1,0.2
253,4872c28b4,2.5,0.2
254,5fed61438,2.2,0.3
255,0ede86b28,1.2,0.6
256,7b4ff27b3,2.1,0.1
257,022606901,3.2,0.1
258,d1870f34b,1.7,0
259,93f620b68,1.6,0.3
260,63912e2b8,0.8,0.4
261,48fd10660,0.8,0.2
262,7f434b444,0.2,-0.2
263,75a11e0f8,0.7,0.3
264,af39d67a5,0.4,0
265,6b307a8ec,2.7,0.4
266,d336e6953,1.7,0
267,dd015cd22,0.0,0
268,0146f6d2c,2.8,0.2
269,0058586f1,4.1,0.8
270,45dba413a,2.8,0.4
271,5bd405bac,1.5,0.3
272,8b9739cef,0.9,0.4
273,fc93e5aa5,0.0,0
274,21655a8bc,0.2,0.2
275,1633b105b,2.5,0.2
276,f861c3c77,2.1,0.7
277,a2c98c186,3.4,0.6
278,5b928c0a6,0.9,0.9
279,7a0746a1f,5.4,0.1
280,425804cd2,0.6,0.6
281,0e5d845dc,1.7,0.8
282,2107c9788,2.0,0.2
283,434691342,2.8,0.7
284,78f87a45d,4.9,0.5
285,9415bc79e,3.1,0.6
286,e3b39a9f5,1.1,0.3
287,217fcf5f1,0.8,0.8
288,9304f9f8b,2.5,0.8
289,183160bf0,2.8,0.7
290,747359fcb,5.0,0.1
291,3595648ea,0.2,0.1
292,5bc5b2ced,1.9,0.3
293,38436063c,1.9,0
294,708ce5f42,0.1,0.1
295,35c9855f5,1.8,0.6
296,958a86135,0.8,0.8
297,7b67f6ed6,1.1,0.1
298,d7696fdac,1.2,0.3
299,a9495309b,1.0,0.3
300,e488a36cf,0.0,0
301,0658597c9,4.2,0
302,5a3c85e3c,1.7,0.8
303,233ddf40c,0.7,0.3
304,446748891,1.7,-0.2
305,f6551137d,1.9,0.9
306,eb21c0250,1.1,0.1
307,74cd0ff66,2.6,0.5
308,0af536283,1.9,0.4
309,14cbb81c8,3.9,0.1
310,d452218f1,0.4,0.4
311,edd2ebd5e,1.1,0.3
312,e4aa86e0a,0.9,0.9
313,a8e5ae23a,2.4,0.2
314,cfd57abde,5.3,0.2
315,570b3eb92,4.5,-0.1
316,40f1ee340,1.5,0
317,09f75d8e1,2.1,0.2
318,45af03266,1.9,0
319,11cc5a797,2.7,0.5
320,07cfb3380,2.8,0.7
321,fe0a74b2b,2.2,0.2
322,01573c686,5.3,0.5
323,e3f28534a,0.4,0.1
324,ec250ea11,0.5,0.5
325,832a83f42,1.0,0.5
326,1a1e3aa63,1.0,0.2
327,4464fa621,5.6,0.3
328,61e477c0a,0.9,-0.1
329,41bcb5de4,1.0,0.2
330,4405cc72c,1.4,0.3
331,f3db279d0,0.9,0.2
332,27b5a9db5,1.9,0.3
333,cc492b6b5,0.9,-0.4
334,732a2ed35,2.7,0.4
335,3d277ebe6,1.4,0.4
336,f57efd0b9,0.1,0.1
337,a3449e0d0,0.3,0
338,1adb69797,1.2,0.4
339,cb568959e,3.6,0.3
340,662f8c2a9,2.2,0.2
341,4e9f82a98,3.0,0.4
342,997db5df5,3.3,0
343,f522ad8d4,4.4,0.1
344,2aac4b61a,3.1,0.2
345,64c2d93c9,1.8,0.6
346,2ac3ca459,1.0,0.2
347,5377c3a3c,0.3,0.3
348,8e3b1dcd1,6.5,0.3
349,262c8cc14,1.7,0
350,2398599fc,0.8,0.2
351,e742a643d,3.5,0.4
352,6d474edc5,0.2,0.2
353,85c65d28b,0.7,0.7
354,3af14a63c,0.0,0
355,02a2a622c,1.2,0
356,5980b0699,1.5,0.7
357,87f4ea65f,0.5,0.2
358,c6df6932d,8.4,0.4
359,6a72cfda7,1.3,0.3
360,196504d88,2.6,0.4
361,c05a85bbb,10.7,0.4
362,412d7406c,0.1,0.1
363,dfb7301a8,1.8,0.4
364,1c9a2baf6,3.4,0
365,2ad6c7675,2.6,0.4
366,b3f83cef6,0.5,0
367,7a9ca7419,0.2,0
368,3f8824a3b,1.0,0.5
369,3ce528284,0.4,0.2
370,2185647c2,4.6,0.3
371,c675f3b10,2.7,0
372,c148399c0,3.6,0.4
373,ae00eded4,8.3,0.4
374,f89c6f6a6,0.3,0.3
375,ee4cb45ea,0.0,0
376,bcb22c952,0.0,0
377,4fec4436f,3.2,0.2
378,31e14c50a,0.9,0.9
379,2fbf2cb7c,4.7,0.6
380,88c193102,2.3,0.1
381,a39ad6dc7,1.5,0.1
382,49d1423d5,2.7,0.3
383,bfdd20655,2.0,-0.1
384,f0a2122d4,1.0,0.4
385,854edf08f,2.0,0.1
386,85078bc71,3.9,0.6
387,7c6cc4bba,1.7,0
388,95563629d,1.6,0.8
389,d18d572dd,0.9,0.9
390,b091feb55,1.1,0.2
391,97db95d21,0.2,0.2
392,ffd697903,1.1,0.5
393,65ba8b6a0,0.5,-0.5
394,a345b4406,0.1,0.1
395,5c1fa6bd2,2.0,0.4
396,37884b086,3.8,0.5
397,8f45b9967,0.1,0.1
398,c92256e41,1.6,0.8
399,28e14ee81,3.1,0.2
400,de489fcd8,0.8,0.8
401,0995bd489,1.2,0.2
402,f2be40d43,6.9,0.3
403,5112b0c92,4.4,0.6
404,5a358b56f,0.4,0.2
405,4e974f807,0.9,0.9
406,d7f1381ba,2.0,0.6
407,037464956,1.3,0.2
408,fd9489e42,1.8,0.6
409,bd7bae691,2.4,0.1
410,132a28bc9,0.2,0.1
411,8aa432e1d,0.0,0
412,b89c365c3,0.6,0.6
413,554965e66,1.4,0.4
414,1e011d469,5.3,0.1
415,b92781dca,0.0,0
416,8390dbef8,0.8,0.1
417,8c75e5189,1.3,0
418,86ea9dda0,2.3,0.5
419,42331ae6f,3.9,0.2
420,d7d1cf92c,3.0,0.2
421,b00d0fe1c,5.0,0.3
422,eaab63bd7,5.0,0.3
423,1de8444a7,7.1,0.1
424,fda10b9ed,1.1,0.5
425,07bd5a7a9,0.5,0
426,2b3fc0265,1.7,0.2
427,23d784a8a,0.3,0.1
428,f262fd637,2.0,-0.1
429,0fc2dc3cb,2.0,0.5
430,169e5aef1,0.2,0.2
431,9a3224461,2.5,0.2
432,37865f566,3.6,0.6
433,54fd5fde4,3.4,0
434,64f563069,0.7,0.3
435,00ac364a4,0.8,0.2
436,5daea1779,0.9,0.2
437,5b73a7ea8,1.3,0.3
438,9ba11975b,3.2,0.3
439,f4212d640,1.2,0.3
440,ea92dcef6,2.2,0.3
441,28e86bb13,2.8,0.3
442,6ae92889d,6.2,0.3
443,0eba510fc,3.0,0.4
444,02e072cbd,0.0,0
445,bfb33b149,1.8,0.1
446,d40c291a9,2.5,0.3
447,cac68ead1,0.0,0
448,10337747f,2.0,0.4
449,43ad546c7,4.4,0.7
450,7d8ffca23,3.2,0.6
451,a6af385f0,6.5,0.2
452,df9cc49a1,0.0,0
453,ffe0f06ab,2.4,0.4
454,1929d8aea,0.8,-0.3
455,5b64325b9,2.1,0.2
456,0ea337520,1.8,0.6
457,8328ec7f4,0.2,0.2
458,a8df693c0,0.0,0
459,e29fd3f0a,1.7,0.8
460,92586e5a3,2.2,0.1
461,3b3ce72d1,2.7,0.2
462,5c67a27f5,2.7,0
463,f904be121,1.9,0
464,32eb3673a,2.6,0.1
465,c220fd5cc,1.7,0.8
466,1c7619fdc,1.9,0.3
467,d0eb1073d,2.1,0.1
468,fbcea110f,0.3,0.1
469,59913444e,0.7,0.1
470,fe3950458,0.9,0.1
471,abbe2568f,1.9,0.4
472,5bf02a5f8,0.2,0.2
473,14b3376eb,1.4,0.4
474,69ba6c8d8,0.5,0.1
475,5bbc1017c,0.1,0.1
476,1fba9cbc9,11.3,0.2
477,351f3746c,0.7,-0.7
478,2f8890a94,0.2,0
479,f3cb6ffea,4.4,0.4
480,467aed7e3,4.4,0.4
481,52602ec39,2.3,0.3
482,ec9da833d,2.9,0.7
483,67a68df4a,0.7,0.7
484,623138a05,1.3,0.4
485,ed9885dcd,3.4,0.1
486,8bf9a6b80,2.1,0.2
487,7b8a09f2d,1.7,0.1
488,45afc38e4,1.8,0.4
489,5145c1766,3.5,0.1
490,54e2508de,2.7,0.3
491,f9df8656a,0.4,0
492,8c4488c48,7.7,0.3
493,ed81d1da8,0.1,0.1
494,2bd8e5830,1.2,0.3
495,4892ceb8d,6.9,0.3
496,30dbb2e50,2.3,0.5
497,52da0c86c,1.8,0.3
498,88e2d97b2,0.5,0.5
499,e27adf529,2.1,0.2
500,a05289ebd,1.1,0.5
501,cb062285d,3.2,0.3
502,d6be47a3c,2.3,0.5
503,19abfb0c6,4.5,0.3
504,4f35cb8e6,0.6,0.6
505,7e6d7cbb3,3.2,-0.4
506,e5164d828,1.6,0.4
507,6c06b0725,2.3,0.5
508,8969b314b,2.1,0.7
509,30bfebc76,0.3,0.1
510,018e4d193,2.5,0.2
511,5bda8f113,2.4,0.4
512,87bdcbcdd,3.0,0.7
513,4f1d0410d,2.4,0.2
514,2f2301bac,2.7,0.9
515,23ed3e349,2.3,0.2
516,cd37edf46,1.4,0.2
517,925c3854a,0.7,-0.1
518,1195168b6,0.7,0.7
519,25f6db0fd,1.7,0.8
520,4f5fd467a,0.5,0.5
521,e940019a3,0.5,0.5
522,a9f6ed0cb,2.3,0.2
523,0cb5ad250,3.7,0.1
524,e2f1f5377,0.1,0.1
525,f344595d7,1.8,0.6
526,c001473a1,1.1,0.3
527,10b9af23d,1.3,0.4
528,7ec0fc838,2.8,0.2
529,a3d9bc3aa,2.3,0.4
530,d0b5fece1,1.6,0.1
531,0d25fb291,3.0,0.4
532,8cbae6e2a,4.6,0.5
533,828ac8371,0.1,0.1
534,2e553e40a,1.5,0
535,72e76bc9b,2.7,0.2
536,e3672355d,0.0,0
537,f0ef9c777,4.2,0.3
538,e39881452,0.2,0
539,9ca6debf5,1.3,0.4
540,fcd19b26b,1.1,0.1
541,1d4574c90,5.6,0.2
542,95855babf,2.2,0.5
543,f7f9eacc9,4.8,0.4
544,34221a4f8,2.2,0.3
545,08b7e05a5,1.4,0.4
546,4f623a979,0.8,0.4
547,e5962e049,4.8,0.2
548,f4ed1a08e,4.2,0.6
549,4c4ba8c4e,0.8,0.3
550,c4835ee5c,1.4,0.7
551,a3cc5de2b,9.7,0.4
552,417c109aa,2.2,0.1
553,31a77d7ba,3.5,0.2
554,2cdc94986,1.2,0.1
555,a6e37f91b,1.9,0.3
556,9dfd5312c,2.7,0.5
557,489466e53,1.7,0.5
558,564ad520f,2.6,0
559,a8a8f95f6,2.8,0.5
560,7cd6556bc,0.9,0.9
561,66fcb54d7,1.8,-0.1
562,fd123a15d,0.2,0
563,fa1c96e93,1.2,0
564,a0b92d7a2,1.4,0.7
565,c1c0405ef,6.6,0.3
566,660dd8ded,2.6,0.2
567,c943ed53a,2.7,0.3
568,4bdc6f196,4.0,0.3
569,ba804d3fa,2.8,0.3
570,faf4322a0,1.7,0.1
571,23bcfa015,2.8,0.2
572,a1543decd,1.2,0.3
573,5eaee2353,2.4,0.3
574,c69315120,0.7,0.7
575,a2656874e,1.2,0.2
576,8a7fcc8cd,1.0,0.5
577,a79e1889c,2.0,0.6
578,0c612e8df,1.5,0.1
579,c45e47c4c,2.8,0.2
580,28e86de6d,2.3,0.1
581,ad5692ee7,2.6,0.2
582,e21227d75,1.6,0.1
583,cc0d4cec3,0.6,0.6
584,a27f0cc49,2.5,0.8
585,26a1a063b,1.6,0.3
586,d06076338,1.5,0.7
587,dd074b8ba,2.5,0.6
588,5f891f500,2.4,0.1
589,110242085,2.0,0.6
590,55553842f,0.1,0
591,daed4ac40,1.0,0.2
592,9ec6fbb61,5.0,0.2
593,c79c98af1,1.4,0.4
594,b52b8d946,1.9,0.6
595,d010fb743,3.3,0.1
596,3f38aabf4,3.0,0.5
597,6b5f208fc,1.2,0.3
598,f15a31a01,2.2,0.7
599,f205b0649,8.7,0.1
600,5dca19c12,0.8,0.4
601,a64d70c84,1.9,0.9
602,8e453a294,3.8,0.6
603,791e6dc19,0.1,0
604,91df1b68f,0.2,0.2
605,c554f052c,1.8,0.9
606,5fe2e44a2,0.3,0.3
607,65df826e8,0.6,0.3
608,d1a11cf42,0.3,0.1
609,9c178d0f4,0.4,0.4
610,e267af6d8,1.5,0.5
611,cb33000d9,1.7,0
612,b62d80c49,0.3,0.3
613,36e7f8d83,0.5,0.2
614,eda8eecc6,7.1,0.5
615,2e9e910d4,2.5,0.2
616,4679d01e2,2.3,0.1
617,c0645d6c9,1.6,0.3
618,5601bd45c,3.2,0.6
619,cff80e84d,0.8,0.8
620,818b12621,0.0,0
621,15721ae3c,3.5,0.3
622,c45a57747,1.8,0.6
623,5009ff19c,1.2,0.2
624,dbaa03313,1.5,0.1
625,e17f6ac56,0.9,-0.9
626,25ef79825,2.0,0.5
627,4605a3467,16.7,0.4
628,f64fd2354,0.7,0.2
629,e4abb93bf,0.5,0.2
630,0f258665b,1.6,0.5
631,bb567f5cd,0.9,0.9
632,7f59b246d,0.9,0.9
633,d0b61aedc,0.9,0.9
634,b18e25ae6,1.0,0.5
635,c8eef30bd,0.3,-0.3
636,1c6e35149,0.9,0.9
637,106f7b51d,1.1,0.5
638,e21d09b79,0.9,0.4
639,8468db069,0.9,0.9
640,3f936cb8a,5.0,0.1
641,c8264b581,0.3,-0.3
642,ab503c64a,1.2,0.6
643,953416879,2.6,0.1
644,1b3dcf712,1.9,0.3
645,6f1a516f4,0.6,0.6
646,1a2f33fec,0.9,0.9
647,edeab1cc8,1.3,0.3
648,11a3055b7,0.9,0.4
649,e809de3b9,2.1,0
650,fd38d0da0,3.1,0.1
651,306c74aa9,3.0,0.4
652,2633bc461,4.4,0.6
653,08f8df31d,4.4,0.3
654,7b6f894a1,1.3,0.4
655,4e4ba4429,2.3,0
656,082b9a2de,0.9,0.9
657,681eb7101,2.6,0.1
658,ecba83b43,1.9,0.9
659,9951dff79,2.2,0.1
660,4f1d86875,0.7,0.1
661,1b5dbc3cf,0.3,0
662,d1531602c,0.2,0.2
663,1d6944a82,0.9,0.1
664,a89fd1f1e,1.3,0.4
665,8d51c3200,1.7,0.8
666,38cf8b2f5,5.9,0.4
667,eac9c6b7a,3.6,0.3
668,8947bf4b9,3.7,0.3
669,5027f31e5,3.3,0
670,51022a643,1.4,0
671,e470b6bd3,0.4,0.4
672,7ca7983b5,1.4,0
673,443005b65,0.0,0
674,303ecdb58,6.8,0.1
675,1fba191e3,0.6,0.6
676,17fb33fc8,3.8,0.2
677,52820e80e,1.6,0
678,1caa6fcdb,0.5,0.2
679,f2bb56f7a,1.9,0
680,7b052d37d,3.8,0
681,cc9f9c4c1,1.9,0.2
682,5bfbb098d,5.1,0.3
683,f96ccddd5,9.2,0.2
684,28ec2de89,0.0,0
685,c6a3de42f,2.5,0.1
686,ea4cea375,2.6,0.1
687,d8df310c9,1.7,0.8
688,8c10b6035,0.0,0
689,5ea1f2c39,5.7,0.5
690,2f43fb067,1.1,0.3
691,e24a04c10,2.3,0.7
692,c1ecd33ac,0.7,0.7
693,7125e101b,1.6,0
694,52363327c,1.7,0.5
695,5074cf806,0.1,0
696,639fed947,0.0,0
697,a94db6dc4,2.0,0
698,a5a71bc27,1.0,0.5
699,31da37bc0,4.8,0.4
700,773243cf2,1.3,0.6
701,5a651d147,0.9,0.9
702,ec8411943,0.9,0.3
703,1b87c512e,1.8,0.9
704,cd9de4e83,3.3,0
705,b1c66fa13,1.3,0.4
706,7efce4735,2.8,0.5
707,6f43738b5,0.4,0.4
708,ea6129e3d,0.0,0
709,8f20e24ef,1.0,0.3
710,1f7363767,0.8,0
711,487531377,1.9,-0.1
712,2bfc5658b,1.2,0.3
713,dcefbb974,0.4,-0.1
714,3ef9ac2a6,0.9,0.1
715,aab56f3ff,0.9,0.9
716,6ea58b8ac,6.6,0.4
717,652787a1f,2.5,0.2
718,fe9307848,0.9,0.9
719,8c5bf2766,0.9,0.9
720,4c48a8f2f,1.8,0.3
721,40ca5f1a0,6.9,0.2
722,6c34a5944,0.9,0.3
723,283ce4b9b,1.7,0.8
724,75bbaa3fa,0.0,0
725,f06cf606d,1.3,0.2
726,b6661be84,1.0,-0.1
727,f3a9092a2,1.8,0
728,8f1ccbc6f,1.0,0.5
729,f8d831236,0.9,0.9
730,0ac71c2c1,1.7,0.2
731,8ef67ba31,4.5,0.3
732,de813940a,5.2,0.3
733,dad58d0a7,1.9,0.4
734,28c005011,0.9,0.9
735,5d168f0e6,0.0,0
736,9eb6e75e2,0.9,0.4
737,76b67f389,2.9,0.1
738,c0677007e,1.8,0.5
739,0819ac2f6,1.8,0.3
740,fdffad0c0,0.9,0.9
741,8ea9f1228,1.2,0.2
742,caa16cc3c,3.9,0.3
743,3497c1ad0,3.2,0
744,dd7ab4e26,3.0,0.3
745,ea3ebc38a,7.4,0.3
746,c2c4f5f40,1.9,0.4
747,4a8dc3644,7.5,0.4
748,06db81e31,1.1,0.3
749,19470706b,1.8,0.2
750,24ea0569a,3.5,0.2
751,7cdd625cc,5.5,0
752,e94f842c0,1.4,0.2
753,1f3e595eb,1.0,0.5
754,171113c99,8.0,0.5
755,0a555d688,0.7,0.7
756,4b628f538,0.8,0.8
757,de61ca522,0.2,0.1
758,3ec367f79,0.0,0
759,078fb1715,0.0,0
760,abe9e2d91,1.4,0.3
761,7f8f45a35,1.2,0.6
762,2a1bd7d28,3.6,0.2
763,5c7d61133,1.9,0.6
764,cb8193d43,1.0,0.5
765,41c83dda8,1.8,0.6
766,e7d595174,2.5,0.2
767,916c891aa,0.8,0.8
768,74b73209e,2.0,0
769,dc2354851,1.4,0.7
770,656c5e0ff,2.9,0.2
771,daa7f33d4,4.6,0.2
772,43894825a,1.9,0.3
773,7e1af1787,2.0,0.6
774,90e582b0c,3.8,0.6
775,8cc2eea7f,0.8,0.8
776,bf0deefda,4.6,0.2
777,25ebacf03,0.5,0.5
778,c1ed7562f,2.1,0.5
779,c68bc0253,1.3,0.3
780,3af2b1473,2.7,0.4
781,9f40dbc58,2.1,0.5
782,8bdffc917,1.6,0.2
783,cad1a9f54,5.9,0.2
784,fe3a83fe5,3.3,0.6
785,2ad939a78,9.3,0.2
786,77bb4ce3a,1.6,0.4
787,3a88e6c8f,3.9,0.3
788,4e1034525,0.8,-0.1
789,be4acc363,0.3,0
790,c8e2a9092,0.9,0.9
791,25fc96414,3.2,0.2
792,d4850786d,3.1,0.1
793,7983db8d9,3.5,0.7
794,35b9530a6,1.6,0.5
795,6cf058ab3,2.0,0
796,84ce5f32b,1.9,0.2
797,39bf24ec8,0.0,0
798,c5f20f40f,1.8,0.3
799,243f7f43e,8.4,0.1
800,72896003b,2.7,0.6
801,58e24d608,4.5,-0.2
802,199f37bc2,1.3,0.1
803,ae1d9f63a,1.6,0.1
804,7d25e2e3b,1.6,0.5
805,33aa18b41,1.1,0.1
806,105fd5ad7,0.3,0.3
807,890dc359d,0.1,0.1
808,f4cf82def,2.6,0.3
809,379da0b71,0.4,0.4
810,4b378329b,0.9,0.9
811,d6aa1281f,1.0,0.4
812,db77fdb46,1.9,0.6
813,6ab1ff108,2.9,0.1
814,89bc4559f,1.0,0.1
815,ab1777794,2.5,0.4
816,4298e4c15,3.9,0.4
817,ace26786b,4.3,0.5
818,79bf5eb37,7.7,0.4
819,62d822791,3.6,0.2
820,cc0a49f6f,1.0,-0.5
821,fa8cdf62e,0.1,0.1
822,2204729ca,0.9,0.9
823,81da09ea9,6.2,0
